station,location_id,latitude,longitude,country,timezone,owner,provider,first_date,last_date,pm25_sensor_id,pm1_sensor_id
Mahankal (SC-16) - GD Labs,6093431,27.7258555,85.3581047,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-10-13T05:00:00Z,2026-07-02T14:00:00Z,14362965,14362964.0
Mid Baneshwor (SC-39)-GD Labs,6142022,27.693662,85.340501,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-11-25T09:00:00Z,2026-06-04T01:00:00Z,14719352,14719351.0
Nakhipot (SC-08) - GD Labs,5633032,27.6510811,85.3178568,Nepal,Asia/Kathmandu,AirGradient,AirGradient,2025-09-19T00:00:00Z,2026-05-20T04:00:00Z,14153373,14153372.0
Phora Durbar Kathman,3460,27.712464,85.315703,Nepal,Asia/Kathmandu,Unknown Governmental Organization,AirNow,2017-03-03T00:00:00Z,2025-03-24T14:15:00Z,7711,
Pulchowk (SC-15)-GD Labs,6151750,27.676946,85.318494,Nepal,Asia/Kathmandu,AirGradient,AirGradient,2025-12-04T05:00:00Z,2025-12-04T05:00:00Z,14792689,14792688.0
Pulchowk (SC-44) - GD Labs,5598104,27.6773887,85.3184176,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-09-19T00:00:00Z,2026-01-27T08:00:00Z,14153468,14153467.0
Pulchowk Engineering Campus - ICE Labs,6280985,27.681232,85.319189,Nepal,Asia/Kathmandu,AirGradient,AirGradient,2026-03-22T12:00:00Z,2026-06-30T06:00:00Z,15750367,15750366.0
Purano naikap (SC-29)-GD Labs,6138068,27.705718,85.255141,Nepal,Asia/Kathmandu,AirGradient,AirGradient,2025-12-05T05:00:00Z,2026-06-26T03:00:00Z,14802207,14802206.0
Ramkot (SC - 10) - GD Labs,6093752,27.695671,85.337428,Nepal,Asia/Kathmandu,AirGradient,AirGradient,2025-10-13T09:00:00Z,2026-07-01T09:00:00Z,14365294,14365293.0
Ranibari (SC-43)-GD Labs,6142174,27.727562,85.321155,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-11-25T11:00:00Z,2026-07-02T14:00:00Z,14720442,14720441.0
Sanepa (SC - 22) - GD Labs,6094778,27.6854882,85.3091634,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-10-14T08:00:00Z,2026-06-07T08:00:00Z,14372847,14372846.0
Shantichowk (SC-11) - GD Labs,6070692,27.7239866,85.2793095,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-10-09T07:00:00Z,2026-07-02T14:00:00Z,14327494,14327493.0
Sifal(SC-03)- GD Labs,5518333,27.710794,85.340591,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-12-24T08:00:00Z,2026-06-23T18:00:00Z,14975414,14975413.0
Sitapaila (SC-30) - GD Labs,6120977,27.7093728,85.2808987,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-11-06T06:00:00Z,2026-06-03T07:00:00Z,14564638,14564637.0
Sorakhutte (SC-36)-GD Labs,6142175,27.71847,85.310271,Nepal,Asia/Kathmandu,AirGradient,AirGradient,2025-11-25T10:00:00Z,2026-07-02T11:00:00Z,14720447,14720446.0
Sunakothi (SC - 06) - GD Labs,5634500,27.630412,85.320402,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-09-19T00:00:00Z,2026-07-02T14:00:00Z,14153363,14153362.0
Sundarighat (SC-23) - GD Labs,6094668,27.6737702,85.2948301,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-10-14T05:00:00Z,2026-07-02T14:00:00Z,14371768,14371767.0
Tankeshwor (SC- 18) - GD Labs,6093550,27.7003531,85.3015259,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-10-13T07:00:00Z,2026-07-02T14:00:00Z,14363850,14363849.0
Tarakeswor (SC-14)-GD Labs,6093548,27.759667,85.289631,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-10-13T07:00:00Z,2026-05-22T10:00:00Z,14363840,14363839.0
Tarakeswor (SC-15)- GD Labs,6096081,27.759288,85.289453,Nepal,Asia/Kathmandu,AirGradient,AirGradient,2025-10-15T11:00:00Z,2025-10-16T06:00:00Z,14382736,14382735.0
Taudaha (SC - 09) - GD Labs,5676826,27.651121,85.283954,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-09-19T00:00:00Z,2026-07-02T14:00:00Z,14153378,14153377.0
Teku Ward 12 (SC - 20) - GD Labs ,6093551,27.6988338,85.3041625,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-10-19T09:00:00Z,2026-07-02T14:00:00Z,14415608,14415607.0
Tokha (SC - 32) - GD Labs,6121118,27.7376474,85.319391,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-11-06T09:00:00Z,2026-07-02T14:00:00Z,14565678,14565677.0
Tokha (SC-31) - GD Labs,6121046,27.7560283,85.3268462,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-11-06T07:00:00Z,2026-07-02T14:00:00Z,14565153,14565152.0
Tripureshowr (SC-24)- GD Labs,6176215,27.692998,85.312458,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-12-24T07:00:00Z,2026-07-02T14:00:00Z,14974921,14974920.0
Tyanglaphat (SC - 21) - GD Labs,6094777,27.6861651,85.28026,Nepal,Asia/Kathmandu,Green Decision Labs and Research,AirGradient,2025-10-14T06:00:00Z,2026-07-02T14:00:00Z,14372566,14372565.0
